"bin"	"tier"	"dv"	"x"	"y"	"z"
1	"24-30"	"1-4"	0.0380104744585462	-0.151746320165793	0.987688340595138
2	"17-23"	"1-4"	0.121490089951632	-0.485015626597272	0.866025403784439
3	"13-16"	"1-4"	0.176251595165783	-0.703635810148253	0.688354575693754
4	"9-12"	"1-4"	0.207174660527506	-0.827087607152402	0.522498564715949
5	"7-8"	"1-4"	0.224484415018536	-0.896192020722713	0.38268343236509
6	"5-6"	"1-4"	0.232974191673073	-0.930085109001854	0.284015344703923
7	"3-4"	"1-4"	0.238911454330657	-0.953787990193948	0.182235525492147
8	"1-2"	"1-4"	0.242231153099158	-0.96704097057251	0.078459095727845
9	"24-30"	"5-8"	0.0931879020231114	-0.125649340503459	0.987688340595138
10	"17-23"	"5-8"	0.297849652246217	-0.401603765740322	0.866025403784439
11	"13-16"	"5-8"	0.432105008308656	-0.582626157940105	0.688354575693754
12	"9-12"	"5-8"	0.507917152888047	-0.684847001652102	0.522498564715949
13	"7-8"	"5-8"	0.550354394951768	-0.742066998693883	0.38268343236509
14	"5-6"	"5-8"	0.571168249194602	-0.770131232378408	0.284015344703923
15	"3-4"	"5-8"	0.58572426457462	-0.789757747120674	0.182235525492147
16	"1-2"	"5-8"	0.593862962341276	-0.800731510718052	0.078459095727845
17	"24-30"	"9-12"	0.134178316255093	-0.0804233877635813	0.987688340595138
18	"17-23"	"9-12"	0.428864305000136	-0.257051372096611	0.866025403784439
19	"13-16"	"9-12"	0.622174350978191	-0.372916954704849	0.688354575693754
20	"9-12"	"9-12"	0.731333863001839	-0.438344648303798	0.522498564715949
21	"7-8"	"9-12"	0.792437907228607	-0.474969002968003	0.38268343236509
22	"5-6"	"9-12"	0.822407118429325	-0.492931856882355	0.284015344703923
23	"3-4"	"9-12"	0.843365865140777	-0.505494046220082	0.182235525492147
24	"1-2"	"9-12"	0.855084518948093	-0.512517937005991	0.078459095727845
25	"24-30"	"13-16"	0.154741298166703	-0.0229537032765238	0.987688340595138
26	"17-23"	"13-16"	0.494588254982391	-0.0733652372276808	0.866025403784439
27	"13-16"	"13-16"	0.717523288735833	-0.106434525616393	0.688354575693754
28	"9-12"	"13-16"	0.843411622031578	-0.125108295855374	0.522498564715949
29	"7-8"	"13-16"	0.913879931597408	-0.135561282144979	0.38268343236509
30	"5-6"	"13-16"	0.948441959022276	-0.140688074614374	0.284015344703923
31	"3-4"	"13-16"	0.972612657869856	-0.144273459097422	0.182235525492147
32	"1-2"	"13-16"	0.98612720890553	-0.146278153371436	0.078459095727845
33	"24-30"	"17-20"	0.151746320165793	0.0380104744585461	0.987688340595138
34	"17-23"	"17-20"	0.485015626597272	0.121490089951632	0.866025403784439
35	"13-16"	"17-20"	0.703635810148253	0.176251595165783	0.688354575693754
36	"9-12"	"17-20"	0.827087607152402	0.207174660527506	0.522498564715949
37	"7-8"	"17-20"	0.896192020722713	0.224484415018536	0.38268343236509
38	"5-6"	"17-20"	0.930085109001854	0.232974191673073	0.284015344703923
39	"3-4"	"17-20"	0.953787990193948	0.238911454330657	0.182235525492147
40	"1-2"	"17-20"	0.96704097057251	0.242231153099158	0.078459095727845
41	"24-30"	"21-24"	0.125649340503459	0.0931879020231114	0.987688340595138
42	"17-23"	"21-24"	0.401603765740322	0.297849652246217	0.866025403784439
43	"13-16"	"21-24"	0.582626157940105	0.432105008308656	0.688354575693754
44	"9-12"	"21-24"	0.684847001652102	0.507917152888047	0.522498564715949
45	"7-8"	"21-24"	0.742066998693883	0.550354394951768	0.38268343236509
46	"5-6"	"21-24"	0.770131232378408	0.571168249194602	0.284015344703923
47	"3-4"	"21-24"	0.789757747120674	0.58572426457462	0.182235525492147
48	"1-2"	"21-24"	0.800731510718052	0.593862962341275	0.078459095727845
49	"24-30"	"25-28"	0.0804233877635813	0.134178316255093	0.987688340595138
50	"17-23"	"25-28"	0.257051372096611	0.428864305000136	0.866025403784439
51	"13-16"	"25-28"	0.372916954704849	0.622174350978191	0.688354575693754
52	"9-12"	"25-28"	0.438344648303798	0.731333863001839	0.522498564715949
53	"7-8"	"25-28"	0.474969002968003	0.792437907228607	0.38268343236509
54	"5-6"	"25-28"	0.492931856882355	0.822407118429325	0.284015344703923
55	"3-4"	"25-28"	0.505494046220082	0.843365865140777	0.182235525492147
56	"1-2"	"25-28"	0.512517937005991	0.855084518948093	0.078459095727845
57	"24-30"	"29-32"	0.0229537032765238	0.154741298166703	0.987688340595138
58	"17-23"	"29-32"	0.0733652372276809	0.494588254982391	0.866025403784439
59	"13-16"	"29-32"	0.106434525616393	0.717523288735833	0.688354575693754
60	"9-12"	"29-32"	0.125108295855374	0.843411622031578	0.522498564715949
61	"7-8"	"29-32"	0.135561282144979	0.913879931597408	0.38268343236509
62	"5-6"	"29-32"	0.140688074614374	0.948441959022276	0.284015344703923
63	"3-4"	"29-32"	0.144273459097422	0.972612657869856	0.182235525492147
64	"1-2"	"29-32"	0.146278153371436	0.98612720890553	0.078459095727845
